trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,31.73530810000375,32.73328049998963,32.74972849999904,up,0,0.5673370999866165,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
1,0,1,0,33.33281530000386,34.332623800000874,34.332623800000874,up,1,0.6468736999959219,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
2,0,2,0,34.999850599997444,35.99939529999392,35.99939529999392,up,1,0.7071123999776319,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
3,0,3,0,36.73280159998103,37.732579400006216,37.732579400006216,up,1,0.5797198999789543,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
4,0,4,0,38.33280750000267,39.332682599982945,39.332682599982945,down,1,0.7798099000065122,-2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
5,0,5,0,40.132742499990854,41.13271419997909,41.13271419997909,up,1,0.8039387000026181,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
6,0,6,0,41.9666939000017,42.96600669997861,42.96600669997861,up,1,0.7947295999911148,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
7,0,7,0,43.78245169998263,44.78254059999017,44.78254059999017,up,1,0.7931352000159677,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
8,0,8,0,45.59905819999403,46.59906899998896,46.59906899998896,up,1,0.5789239000005182,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
9,0,9,0,47.199238300003344,48.19897860000492,48.19897860000492,down,1,0.8804062999843154,2,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
10,0,10,0,49.09924829998636,50.099050299992086,50.099050299992086,down,0,1.0569979999854695,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
11,0,11,0,51.18229870000505,52.182451100001344,52.182451100001344,up,1,0.585160700022243,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
12,0,12,0,52.79917939999723,53.798895999992965,53.798895999992965,down,1,0.5852358000120148,-5,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
13,0,13,0,54.41562580000027,55.41570869999123,55.41570869999123,up,1,0.8539037999871653,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
14,0,14,0,56.299056799995014,57.29919079999672,57.29919079999672,down,1,0.7134612000081688,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
15,0,15,0,58.03247310000006,59.03218099998776,59.03218099998776,down,1,0.9833197000261862,-4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
16,0,16,0,60.03225889999885,61.03228019998642,61.03228019998642,up,1,0.7554384999966715,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
17,0,17,0,61.8160549000022,62.81559159999597,62.81559159999597,up,1,0.8359650000056718,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
18,0,18,0,63.6820475999848,64.68208389999927,64.68208389999927,up,1,0.7305073000025004,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
19,0,19,0,65.43226609998965,66.43225449998863,66.43225449998863,down,0,0.6120153999945614,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
20,0,20,0,67.06554999999935,68.06553849999909,68.06553849999909,down,0,0.9102653999871109,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
21,0,21,0,68.99865389999468,69.99879469998996,69.99879469998996,down,0,0.6350203999900259,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
22,0,22,0,70.66550139998435,71.66546389998985,71.66546389998985,down,0,0.6887668000126723,0,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
23,0,23,0,72.38192319998052,73.38192849999177,73.38192849999177,up,0,0.5491834999993443,1,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
24,0,24,0,73.9490567999892,74.9484981999849,74.9484981999849,down,1,0.8501790999725927,4,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
25,0,25,0,75.81541239999933,76.81538719998207,76.81538719998207,down,1,0.8354725000099279,3,001,001,2022-09-11_17h03.56.349,Orientation_Descrimination_Exp,2022.2.4,59.964800652282385,
